CO,Name,Value
48,Vacaville Unified,150336999.7
48,Vallejo City Unified,181819110.6
49,Petaluma City Elementary/Joint Union High,113745803.2
49,Santa Rosa City Schools,230628424.5
49,Alexander Valley Union Elementary,2765859.94
49,West Sonoma County Union High,25338260.59
49,Bellevue Union Elementary,32425827.9
49,Bennett Valley Union Elementary,12299039.38
49,Cinnabar Elementary,3881150.94
49,Cloverdale Unified,21991004.4
49,Dunham Elementary,2014958.72
49,Forestville Union Elementary,4963683.39
49,Fort Ross Elementary,753655.69
49,Geyserville Unified,5004236.24
49,Gravenstein Union Elementary,12516240.91
49,Guerneville Elementary,5764344.64
49,Harmony Union Elementary,5785220.18
49,Horicon Elementary,2188948
49,Kenwood Elementary,3377253.63
49,Liberty Elementary,3779330.96
49,Mark West Union Elementary,19391887.35
49,Monte Rio Union Elementary,1893502.07
49,Montgomery Elementary,808335.81
49,Oak Grove Union Elementary,13398940.56
49,Old Adobe Union Elementary,29288329.48
49,Piner-Olivet Union Elementary,16694160.65
49,Kashia Elementary,527558.7
49,Rincon Valley Union Elementary,45226346.68
49,Roseland Elementary,48438806.58
49,Sebastopol Union Elementary,8924525.63
49,Sonoma Valley Unified,73604278.87
49,Twin Hills Union Elementary,8978293.03
49,Two Rock Union Elementary,2061488.07
49,Waugh Elementary,10491218.02
49,West Side Union Elementary,2052296.78
49,Wilmar Union Elementary,3026333.16
49,Wright Elementary,24043949.89
49,Cotati-Rohnert Park Unified,89451768.42
49,Windsor Unified,54059789.47
49,Healdsburg Unified,28908543.84
50,Modesto City Schools,495363886.5
50,Ceres Unified,226814051.2
50,Chatom Union Elementary,7992958.09
50,Denair Unified,18195460.06
50,Empire Union Elementary,43332235.05
50,Gratton Elementary,2050409.21
50,Hart-Ransom Union Elementary,9174674.32
50,Hickman Community Charter,11808871.92
50,Keyes Union Elementary,13226951.8
50,Knights Ferry Elementary,1738695.18
50,Paradise Elementary,2578289.99
50,Patterson Joint Unified,94440366.4
50,Roberts Ferry Union Elementary,2371235.29
50,Salida Union Elementary,35765393.4
50,Shiloh Elementary,2685248.54
50,Stanislaus Union Elementary,54406891.63
50,Sylvan Union Elementary,119892361.5
50,Valley Home Joint Elementary,2455603.17
50,Newman-Crows Landing Unified,53144026.7
50,Hughson Unified,31961960.22
50,Riverbank Unified,41894406.15
50,Oakdale Joint Unified,72663676.45
50,Waterford Unified,32519530.59
50,Turlock Unified,213288872.8
51,Brittan Elementary,4869282.95
51,Browns Elementary,1619514.22
51,East Nicolaus Joint Union High,4739200.18
51,Franklin Elementary,5610148.62
51,Live Oak Unified,31350377.32
51,Marcum-Illinois Union Elementary,2628607.91
51,Meridian Elementary,1106712.8
51,Nuestro Elementary,2245925.07
51,Pleasant Grove Joint Union Elementary,2051478.33
51,Sutter Union High,10721280.38
51,Winship-Robbins Elementary,2242880.78
51,Yuba City Unified,182096493.8
52,Antelope Elementary,10230825.91
52,Corning Union Elementary,30978723.41
52,Corning Union High,16297406.22
52,Evergreen Union Elementary,14410139.73
52,Flournoy Union Elementary,692105.13
52,Gerber Union Elementary,6593364.27
52,Kirkwood Elementary,1456354.02
52,Lassen View Union Elementary,4740325.4
52,Los Molinos Unified,9316383.63
52,Red Bluff Union Elementary,34555346.59
52,Red Bluff Joint Union High,27448882.31
52,Reeds Creek Elementary,2341554.7
52,Richfield Elementary,3025651.02
53,Burnt Ranch Elementary,1560098.75
53,Coffee Creek Elementary,247215.48
53,Douglas City Elementary,2402085.38
53,Junction City Elementary,1209383.11
53,Lewiston Elementary,1263828.84
53,Trinity Center Elementary,305304.37
53,Southern Trinity Joint Unified,2647336.02
53,Mountain Valley Unified,5755029.02
53,Trinity Alps Unified,10910536.71
54,Allensworth Elementary,1408566.52
54,Alpaugh Unified,6179532.73
54,Alta Vista Elementary,7986709.62
54,Buena Vista Elementary,2874646.48
54,Burton Elementary,79095495.72
54,Columbine Elementary,2129248.47
54,Cutler-Orosi Joint Unified,71537472.75
54,Ducor Union Elementary,3120048.98
54,Earlimart Elementary,32066013.86
54,Hope Elementary,3458816.23
54,Hot Springs Elementary,299659.06
54,Kings River Union Elementary,7347767.41
54,Liberty Elementary,7332119.81
54,Lindsay Unified,80773744.76
54,Monson-Sultana Joint Union Elementary,6629577.31
54,Oak Valley Union Elementary,9250623.95
54,Outside Creek Elementary,1230766.66
54,Palo Verde Union Elementary,7712563.96
54,Pixley Union Elementary,17387029.76
54,Pleasant View Elementary,7511488.58
54,Richgrove Elementary,10979657.25
54,Rockford Elementary,3677364.19
54,Saucelito Elementary,1384115.75
54,Sequoia Union Elementary,852770.96
54,Springville Union Elementary,4343298.28
54,Stone Corral Elementary,2554811.49
54,Strathmore Union Elementary,11860768.71
54,Sundale Union Elementary,10716635.88
54,Sunnyside Union Elementary,6133976.56
54,Terra Bella Union Elementary,14137919.54
54,Three Rivers Union Elementary,1762712.95
54,Tipton Elementary,8600515.21
54,Traver Joint Elementary,3743024.52
54,Tulare City Elementary,133199236.3
54,Tulare Joint Union High,98479887.53
54,Visalia Unified,464230404.8
54,Waukena Joint Union Elementary,3203094.01
54,Woodville Union Elementary,8174696.99
54,Farmersville Unified,48142474.13
54,Porterville Unified,232730850.9
54,Dinuba Unified,98751194.95
54,Woodlake Unified,35357532.08
54,Exeter Unified,41570969.33
55,Belleview Elementary,2559891.9
55,Columbia Union Elementary,6243413.82
55,Curtis Creek Elementary,5611091.33
55,Jamestown Elementary,6160376.06
55,Sonora Elementary,9943421.68
55,Sonora Union High,15942866.22
55,Soulsbyville Elementary,6217144.25
55,Summerville Elementary,5424140.31
55,Summerville Union High,7574336.48
55,Twain Harte Elementary,4477378.12
55,Big Oak Flat-Groveland Unified,6967611.36
56,Briggs Elementary,7565522.85
56,Fillmore Unified,68768234.97
56,Hueneme Elementary,134460654.4
56,Mesa Union Elementary,7899563.01
56,Mupu Elementary,2162600.49
56,Ocean View Elementary,36696529.87
56,Ojai Unified,33414270.95
56,Oxnard Elementary,261010541.6
56,Oxnard Union High,272010053.6
56,Pleasant Valley,78181221.1
56,Rio Elementary,87776376.71
56,Santa Clara Elementary,869347.5
56,Simi Valley Unified,234337352.9
56,Somis Union Elementary,4044294.89
56,Ventura Unified,234241252.7
56,Conejo Valley Unified,241728667.3
56,Oak Park Unified,56966392.6
56,Moorpark Unified,73910343.87
56,Santa Paula Unified,95284073.39
57,Davis Joint Unified,124037949.2
57,Esparto Unified,16116667.67
57,Washington Unified,110318593.3
57,Winters Joint Unified,23891479.95
57,Woodland Joint Unified,142937776.1
58,Camptonville Elementary,1200993.63
58,Marysville Joint Unified,145833356.2
58,Plumas Lake Elementary,21383789.69
58,Wheatland Elementary,23624461.83
58,Wheatland Union High,19651003.23
